Age,Sex,Avemags,StDev,N,Adult
10,0,3.238095,3.269629,21,0
10,1,3.25,3.053864,24,0
11,0,3.578947,3.371709,19,0
11,1,4.764706,4.616944,17,0
12,0,3.888889,2.846854,18,0
12,1,5.064516,4.130662,31,0
13,0,4.590909,4.676782,22,0
13,1,6.115385,3.326583,26,0
14,0,4.666667,4.806397,24,0
14,1,5.782609,5.107539,23,0
15,0,4.074074,3.594076,27,0
15,1,7.375,4.660775,24,0
16,0,6.833333,6.955742,18,0
16,1,7.055556,3.455128,18,0
17,0,3.647059,2.596661,17,0
17,1,6.95,4.394674,20,0
18,0,4.166667,3.258473,18,0
18,1,6.0625,4.37369,16,0
19,0,4.166667,2.761012,24,0
19,1,6.958333,3.804793,24,0
22,0,4.619469,4.528321,113,1
22,1,5.012739,3.843054,157,1
27,0,4.07438,4.591959,121,1
27,1,4.775148,3.900134,169,1
32,0,4.322835,3.594268,127,1
32,1,4.594872,3.312733,195,1
37,0,5.129771,4.546168,131,1
37,1,4.807692,3.838876,156,1
42,0,4.349515,3.451935,103,1
42,1,4.93007,3.581349,143,1
47,0,4.344828,4.805103,87,1
47,1,5.16129,4.17189,124,1
52,0,4.074074,4.274277,81,1
52,1,4.53271,3.767582,107,1
57,0,3.092105,2.536021,76,1
57,1,4.32381,3.071254,105,1
62,0,2.690722,3.748224,97,1
62,1,4.025862,3.419792,116,1
67,0,2.505882,2.397293,255,1
67,1,3.025701,2.633204,428,1
