Year,Fatalities
1960,2
1961,0
1962,1
1963,1
1964,0
1965,0
1966,1
1967,0
1968,0
1969,1
1970,7
1971,1
1972,1
1973,1
1974,6
1975,2
1976,1
1977,0
1978,2
1979,5
1980,3
1981,1
1982,11
1983,3
1984,8
1985,7
1986,4
1987,4
1988,10
1989,8
1990,4
1991,2
1992,5
1993,8
1994,5
1995,3
1996,15
1997,9
1998,4
1999,4
2000,2
2001,5
2002,3
2003,4
2004,7
2005,6
2006,11
2007,7
2008,1
2009,4
2010,3
2011,5
2012,11
2013,9
2014,17
2015,19
2016,7
2017,5
2018,5
2019,12
