Row,MonthEnd,Month,Year,Time,Change,Capacity
1,31/08/2013,8,13,0,0,5.413
2,30/09/2013,9,13,0.3,0,6.218
3,31/10/2013,10,13,0.61,0,6.784
4,30/11/2013,11,13,0.91,0,7.642
5,31/12/2013,12,13,1.22,0,8.224
6,31/01/2014,1,14,1.53,0,8.919
7,28/02/2014,2,14,1.81,0,9.879
8,31/03/2014,3,14,2.12,0,11.057
9,30/04/2014,4,14,2.42,0,11.891
10,31/05/2014,5,14,2.73,0,12.751
11,30/06/2014,6,14,3.03,0,13.825
12,31/07/2014,7,14,3.34,0,14.943
13,31/08/2014,8,14,3.65,0,16.027
14,30/09/2014,9,14,3.95,0,17.06
15,31/10/2014,10,14,4.26,0,18.498
16,30/11/2014,11,14,4.56,0.3,20.206
17,31/12/2014,12,14,4.87,0.61,21.357
18,31/01/2015,1,15,5.18,0.92,22.396
19,28/02/2015,2,15,5.46,1.2,23.283
20,31/03/2015,3,15,5.77,1.51,24.325
21,30/04/2015,4,15,6.07,1.81,25.263
22,31/05/2015,5,15,6.38,2.12,26.096
23,30/06/2015,6,15,6.68,2.42,27.448
24,31/07/2015,7,15,6.99,2.73,28.946
25,31/08/2015,8,15,7.3,3.04,30.969
26,30/09/2015,9,15,7.6,3.34,32.515
27,31/10/2015,10,15,7.91,3.65,33.597
28,30/11/2015,11,15,8.21,3.95,35.018
29,31/12/2015,12,15,8.52,4.26,36.686
30,31/01/2016,1,16,8.83,4.57,37.598
31,29/02/2016,2,16,9.12,4.86,39.223
32,31/03/2016,3,16,9.43,5.17,40.372
33,30/04/2016,4,16,9.73,5.47,41.553
34,31/05/2016,5,16,10.04,5.78,42.825
35,30/06/2016,6,16,10.34,6.08,44.133
36,31/07/2016,7,16,10.65,6.39,45.391
37,31/08/2016,8,16,10.96,6.7,46.757
38,30/09/2016,9,16,11.26,7,48.156
39,31/10/2016,10,16,11.57,7.31,49.673
40,30/11/2016,11,16,11.87,7.61,51.015
41,31/12/2016,12,16,12.18,7.92,52.344
42,31/01/2017,1,17,12.49,8.23,53.137
43,28/02/2017,2,17,12.77,8.51,54.339
44,31/03/2017,3,17,13.08,8.82,55.746
45,30/04/2017,4,17,13.38,9.12,56.846
46,31/05/2017,5,17,13.69,9.43,57.909
47,30/06/2017,6,17,13.99,9.73,59.635
48,31/07/2017,7,17,14.3,10.04,61.293
49,31/08/2017,8,17,14.61,10.35,63.146
50,30/09/2017,9,17,14.91,10.65,64.673
51,31/10/2017,10,17,15.22,10.96,66.219
52,30/11/2017,11,17,15.52,11.26,67.981
53,31/12/2017,12,17,15.83,11.57,69.416
54,31/01/2018,1,18,16.14,11.88,70.495
55,28/02/2018,2,18,16.42,12.16,72.009
56,31/03/2018,3,18,16.73,12.47,73.687
57,30/04/2018,4,18,17.03,12.77,74.959
58,31/05/2018,5,18,17.34,13.08,76.501
59,30/06/2018,6,18,17.64,13.38,77.773
60,31/07/2018,7,18,17.95,13.69,79.473
61,31/08/2018,8,18,18.26,14,81.007
62,30/09/2018,9,18,18.56,14.3,83.142
63,31/10/2018,10,18,18.87,14.61,85.637
64,30/11/2018,11,18,19.17,14.91,87.731
