Hour,Minutes,Speed,TenMinEarlier
0,0,8.73,8.74
0,10,9.28,8.73
0,20,9.35,9.28
0,30,9.91,9.35
0,40,9.21,9.91
0,50,9.63,9.21
1,0,10.55,9.63
1,10,10.88,10.55
1,20,12.02,10.88
1,30,11.08,12.02
1,40,11.4,11.08
1,50,11.25,11.4
2,0,10.19,11.25
2,10,10.31,10.19
2,20,9.57,10.31
2,30,9.52,9.57
2,40,6.63,9.52
2,50,5.37,6.63
3,0,4.88,5.37
3,10,5.25,4.88
3,20,5.11,5.25
3,30,4.87,5.11
3,40,6.25,4.87
3,50,6.73,6.25
4,0,6.04,6.73
4,10,6.87,6.04
4,20,6.58,6.87
4,30,6.54,6.58
4,40,6.87,6.54
4,50,6.68,6.87
5,0,8.44,6.68
5,10,8.49,8.44
5,20,7.45,8.49
5,30,6.28,7.45
5,40,5.47,6.28
5,50,4.64,5.47
6,0,6.03,4.64
6,10,6.82,6.03
6,20,5.61,6.82
6,30,6.87,5.61
6,40,7.04,6.87
6,50,6.6,7.04
7,0,6.75,6.6
7,10,5.08,6.75
7,20,5.47,5.08
7,30,5.91,5.47
7,40,6.23,5.91
7,50,6.64,6.23
8,0,6.13,6.64
8,10,7.05,6.13
8,20,6.93,7.05
8,30,6.34,6.93
8,40,7.89,6.34
8,50,6.91,7.89
9,0,8.5,6.91
9,10,8.23,8.5
9,20,8.14,8.23
9,30,7.28,8.14
9,40,7.41,7.28
9,50,5.92,7.41
10,0,5.04,5.92
10,10,6.36,5.04
10,20,5.4,6.36
10,30,6.43,5.4
10,40,6.49,6.43
10,50,6.91,6.49
11,0,6.66,6.91
11,10,6.25,6.66
11,20,5.27,6.25
11,30,5.18,5.27
11,40,4.96,5.18
11,50,4.43,4.96
12,0,4.13,4.43
12,10,4.93,4.13
12,20,5.88,4.93
12,30,5.5,5.88
12,40,4.75,5.5
12,50,4.44,4.75
13,0,4.36,4.44
13,10,4.27,4.36
13,20,3.93,4.27
13,30,4.71,3.93
13,40,4.52,4.71
13,50,3.76,4.52
14,0,2.25,3.76
14,10,2.27,2.25
14,20,3.29,2.27
14,30,3.77,3.29
14,40,3.75,3.77
14,50,2.7,3.75
15,0,3.88,2.7
15,10,3.74,3.88
15,20,3.57,3.74
15,30,4.06,3.57
15,40,4.19,4.06
15,50,4.42,4.19
16,0,6.45,4.42
16,10,6.13,6.45
16,20,5.35,6.13
16,30,7.12,5.35
16,40,6.83,7.12
16,50,8.62,6.83
17,0,9.61,8.62
17,10,8.74,9.61
17,20,10.58,8.74
17,30,11.5,10.58
17,40,10.37,11.5
17,50,10.3,10.37
18,0,10.63,10.3
18,10,10.55,10.63
18,20,10.97,10.55
18,30,11.09,10.97
18,40,9.88,11.09
18,50,10.34,9.88
19,0,8.73,10.34
19,10,8.71,8.73
19,20,9.01,8.71
19,30,9.61,9.01
19,40,11.06,9.61
19,50,10.62,11.06
20,0,10.6,10.62
20,10,11.02,10.6
20,20,9.48,11.02
20,30,8.33,9.48
20,40,7.5,8.33
20,50,8.04,7.5
21,0,8.61,8.04
21,10,8.63,8.61
21,20,8.88,8.63
21,30,10.73,8.88
21,40,10.43,10.73
21,50,9.62,10.43
22,0,9.66,9.62
22,10,10.13,9.66
22,20,10,10.13
22,30,9.69,10
22,40,9.67,9.69
22,50,9.75,9.67
23,0,10.42,9.75
23,10,10.38,10.42
23,20,8.97,10.38
23,30,7.97,8.97
23,40,8.18,7.97
23,50,9.23,8.18
