Place,Lat,Long,MnJanTemp,MnJlyTemp,Rain,Sun,Height,Sea,NorthIsland
Kaitaia,35.1,173.3,19.3,11.7,1418,2113,80,1,1
Kerikeri,35.2,174,18.9,10.8,1682,2004,73,1,1
Dargaville,36,173.8,18.6,10.7,1248,1956,20,1,1
Whangarei,35.7,174.3,19.7,11,1600,1925,29,1,1
Auckland,36.9,174.8,19.4,11,1185,2102,49,1,1
Tauranga,37.7,176.2,18.5,9.3,1349,2277,4,1,1
Hamilton,37.8,175.3,17.8,8.3,1201,2006,40,0,1
Rotorua,38.2,176.3,17.5,7.3,1439,1948,307,0,1
Gisborne,38.7,178,18.7,13.6,1058,2204,4,1,1
Taupo,38.7,176.6,17.3,6.5,1178,2021,376,0,1
Taumaranui,38.9,175.3,18.3,7.3,1443,1704,171,0,1
NewPlymouth,39.1,174.1,17.2,11,1539,2114,49,1,1
Ohakune,39.4,175.4,14.9,5.2,1320,1799,610,0,1
Napier,39.5,176.9,19,9,824,2245,2,1,1
Waipukurau,40,176.5,17.6,7.1,847,1992,137,0,1
Wanganui,39.9,175.1,17.8,8.7,906,2319,22,1,1
PalmerstonNth,40.4,175.6,17.4,8,995,1794,34,0,1
Masterton,41,175.6,17.3,7.1,971,2004,114,0,1
Wellington,41.3,174.8,16.4,8.2,1240,2019,125,1,1
Nelson,41.3,173.2,17.2,6.5,986,2409,2,1,0
Blenheim,41.5,174,17.8,7,642,2447,4,1,0
Westport,41.7,171.6,15.8,8.2,2192,1925,2,1,0
Hanmer,42.5,172.9,15.6,4,1163,1898,387,0,0
Kaikoura,42.4,173.7,16.2,7.7,888,2052,108,1,0
Christchurch,43.5,172.5,17,5.6,648,1999,30,1,0
Greymouth,42.5,171.2,16.1,8,2451,1701,4,1,0
Hokitika,42.7,171,15.3,7.2,2783,1846,39,1,0
MtCook,43.7,170.1,13.8,1.8,4098,1527,765,0,0
LakeTekapo,44,170.5,14.8,1.6,597,2217,683,0,0
Timaru,44.4,171.3,16.2,5.3,587,1869,17,1,0
Queenstown,45,168.7,15.8,3.7,805,1921,329,0,0
Alexandra,45.3,169.4,17,2.6,343,2064,141,0,0
Dunedin,45.9,170.5,15.1,6.4,784,1685,2,1,0
Gore,46.1,168.9,15.1,4.7,836,1698,72,0,0
Invercargill,46.4,168.3,13.7,5.1,1037,1621,0,1,0
Haast,43.9,169,14.7,7.5,3455,1853,4,1,0
