MonthEnd,Capacity
2013-08-31,5.413
2013-09-30,6.218
2013-10-31,6.784
2013-11-30,7.642
2013-12-31,8.224
2014-01-31,8.919
2014-02-28,9.879
2014-03-31,11.057
2014-04-30,11.891
2014-05-31,12.751
2014-06-30,13.825
2014-07-31,14.943
2014-08-31,16.027
2014-09-30,17.06
2014-10-31,18.498
2014-11-30,20.206
2014-12-31,21.357
2015-01-31,22.396
2015-02-28,23.283
2015-03-31,24.325
2015-04-30,25.263
2015-05-31,26.096
2015-06-30,27.448
2015-07-31,28.946
2015-08-31,30.969
2015-09-30,32.515
2015-10-31,33.597
2015-11-30,35.018
2015-12-31,36.686
2016-01-31,37.598
2016-02-29,39.223
2016-03-31,40.372
2016-04-30,41.553
2016-05-31,42.825
2016-06-30,44.133
2016-07-31,45.391
2016-08-31,46.757
2016-09-30,48.156
2016-10-31,49.673
2016-11-30,51.015
2016-12-31,52.344
2017-01-31,53.137
2017-02-28,54.339
2017-03-31,55.746
2017-04-30,56.846
2017-05-31,57.909
2017-06-30,59.635
2017-07-31,61.293
2017-08-31,63.146
2017-09-30,64.673
2017-10-31,66.219
2017-11-30,67.981
2017-12-31,69.416
2018-01-31,70.495
2018-02-28,72.009
2018-03-31,73.687
2018-04-30,74.959
2018-05-31,76.501
2018-06-30,77.773
2018-07-31,79.473
2018-08-31,81.007
2018-09-30,83.142
2018-10-31,85.637
2018-11-30,87.731
